unit,isced11,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED5,F,PL9	: 	0 	0 	0 	291 	749 	1319 
NR,ED5,F,PL91	: 	0 	0 	0 	108 	238 	414 
NR,ED5,F,PL92	: 	0 	0 	0 	183 	511 	905 
NR,ED5,F,PLZ	: 	0 	: z	: z	0 	0 	0 
NR,ED5,F,PLZZ	: 	0 	: z	: z	0 	0 	0 
NR,ED5,F,PT	: 	4753 	4165 	2306 	110 	0 	0 
NR,ED5,F,PT1	: 	4683 	4111 	2280 	110 	0 	0 
NR,ED5,F,PT11	: 	1851 	1668 	953 	74 	0 	0 
NR,ED5,F,PT15	: 	111 	118 	59 	0 	0 	0 
NR,ED5,F,PT16	: 	1506 	1309 	766 	30 	0 	0 
NR,ED5,F,PT17	: 	620 	439 	206 	0 	0 	0 
NR,ED5,F,PT18	: 	595 	577 	296 	6 	0 	0 
NR,ED5,F,PT2	: 	9 	10 	7 	0 	0 	0 
NR,ED5,F,PT20	: 	9 	10 	7 	0 	0 	0 
NR,ED5,F,PT3	: 	61 	44 	19 	0 	0 	0 
NR,ED5,F,PT30	: 	61 	44 	19 	0 	0 	0 
NR,ED5,F,PTZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,PTZZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,RO	: 	: z	: z	: z	: z	: z	391303 
NR,ED5,F,RO1	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO11	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO12	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO2	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO21	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO22	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO3	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO31	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO32	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO4	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO41	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RO42	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,ROZ	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,ROZZ	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,RS	: 	: z	: 	: 	: 	: 	: 
NR,ED5,F,RS1	: 	: z	: 	: 	: 	: 	: 
NR,ED5,F,RS11	: 	: z	: 	: 	: 	: 	: 
